codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
30001,Región de Murcia,Murcia,Abanilla,4539,76.78,2750,78.91,2716,15,34,0,0,0,0,13.438880706921944,0,0,0,0,0,0,0,1.0677466863033873,0.9204712812960235,0,38.77025036818851,0,25.184094256259204,5.559646539027982,14.506627393225331
30002,Región de Murcia,Murcia,Abarán,9735,100,7319,75.18,7227,33,92,0,0,0,0,13.767815137678152,0,0,0,0,0,0,0,1.6189290161892902,1.1207970112079702,0,25.930538259305383,0,25.155666251556664,8.620451086204511,23.32918223329182
30003,Región de Murcia,Murcia,Águilas,25046,100,17860,71.31,17668,99,192,0,0,0,0,18.3212587729228,0,0,0,0,0,0,0,0.5942947702060222,1.0640706361784016,0,22.22662440570523,0,32.561693457097576,9.712474530224133,14.959248358614444
30004,Región de Murcia,Murcia,Albudeite,1126,100,884,78.51,876,5,8,0,0,0,0,5.936073059360731,0,0,0,0,0,0,0,0.228310502283105,0.3424657534246575,0,27.511415525114156,0,39.61187214611872,7.30593607305936,18.493150684931507
30005,Región de Murcia,Murcia,Alcantarilla,30193,100,22648,75.01,22419,136,229,0,0,0,0,20.348811276149693,0,0,0,0,0,0,0,1.204335608189482,1.6236228199295242,0,25.43378384406084,0,22.115170168160933,8.934386011864936,19.73326196529729
30006,Región de Murcia,Murcia,Aledo,829,100,731,88.18,727,4,4,0,0,0,0,14.718019257221458,0,0,0,0,0,0,0,0.4126547455295736,0.8253094910591472,0,36.58872077028886,0,28.060522696011002,9.903713892709765,8.940852819807429
30007,Región de Murcia,Murcia,Alguazas,6484,100,4774,73.63,4727,25,47,0,0,0,0,16.69134757774487,0,0,0,0,0,0,0,0.719272265707637,1.459699598053734,0,24.645652633805796,0,24.687962767082716,8.271631055637826,22.995557436005925
30008,Región de Murcia,Murcia,Alhama de Murcia,14450,100,10832,74.96,10675,60,157,0,0,0,0,18.079625292740047,0,0,0,0,0,0,0,1.3676814988290398,1.2646370023419204,0,21.629976580796253,0,25.049180327868854,13.967213114754099,18.079625292740047
30009,Región de Murcia,Murcia,Archena,12689,100,10036,79.09,9909,50,127,0,0,0,0,15.137753557372086,0,0,0,0,0,0,0,0.9587243919668987,1.2312039559995964,0,28.60026238772833,0,27.64153799576143,10.303764254717933,15.622161671207992
30010,Región de Murcia,Murcia,Beniel,6857,100,5533,80.69,5457,38,76,0,0,0,0,16.05277625068719,0,0,0,0,0,0,0,0.678028220634048,1.6492578339747115,0,27.194429173538573,0,26.937877954920285,7.67821147150449,19.11306578706249
30011,Región de Murcia,Murcia,Blanca,4695,100,3665,78.06,3610,16,55,0,0,0,0,15.23545706371191,0,0,0,0,0,0,0,1.994459833795014,1.3296398891966759,0,29.002770083102494,0,26.62049861495845,7.673130193905817,17.700831024930746
30012,Región de Murcia,Murcia,Bullas,9069,100,7397,81.56,7266,53,131,0,0,0,0,15.304156344618772,0,0,0,0,0,0,0,0.5367464905037159,1.0046793283787503,0,18.44205890448665,0,40.09083402146986,14.079273327828242,9.812826864849987
30013,Región de Murcia,Murcia,Calasparra,7467,89.31,5006,75.06,4940,25,66,0,0,0,0,14.574898785425102,0,0,0,0,0,0,0,0.5263157894736842,0.7489878542510121,0,17.732793522267208,0,43.31983805668016,8.380566801619434,14.210526315789474
30014,Región de Murcia,Murcia,Campos del Río,1585,100,1226,77.35,1202,3,24,0,0,0,0,11.813643926788686,0,0,0,0,0,0,0,3.0782029950083194,1.913477537437604,0,19.550748752079866,0,41.26455906821963,6.655574043261232,15.474209650582363
30015,Región de Murcia,Murcia,Caravaca de la Cruz,19372,88.21,12699,74.32,12566,83,133,0,0,0,0,21.10456788158523,0,0,0,0,0,0,0,0.6764284577431163,0.8117141492917396,0,24.65382778927264,0,27.892726404583797,7.249721470635047,16.950501352856914
30016,Región de Murcia,Murcia,Cartagena,152721,96.7,106396,72.04,105396,683,998,0,0,0,0,21.410679722190597,0,0,0,0,0,0,0,1.2030817108808682,1.8141105924323504,0,20.51785646514099,0,23.116626816957,11.004212683593305,20.28539982542032
30017,Región de Murcia,Murcia,Cehegín,11479,100,8953,77.99,8844,62,109,0,0,0,0,20.61284486657621,0,0,0,0,0,0,0,0.5540479421076436,1.0063319764812302,0,24.061510628674807,0,28.245137946630486,8.627317955676165,16.1917684305744
30018,Región de Murcia,Murcia,Ceutí,8326,100,6544,78.6,6438,25,106,0,0,0,0,15.020192606399503,0,0,0,0,0,0,0,1.8484001242621932,3.2929481205343274,0,22.444858651755204,0,29.40354147250699,8.07704255980118,19.524697110904008
30019,Región de Murcia,Murcia,Cieza,25846,100,18755,72.56,18517,172,238,0,0,0,0,17.313819733218125,0,0,0,0,0,0,0,0.9936814818815143,1.1934978668250797,0,26.100340227898688,0,24.51261003402279,12.604633579953557,16.352540908354484
30020,Región de Murcia,Murcia,Fortuna,6431,100,4991,77.61,4940,19,51,0,0,0,0,11.842105263157896,0,0,0,0,0,0,0,0.44534412955465585,0.5060728744939271,0,30.020242914979757,0,24.51417004048583,10,22.28744939271255
30021,Región de Murcia,Murcia,Fuente Álamo de Murcia,9441,100,6664,70.59,6591,32,73,0,0,0,0,18.358367470793507,0,0,0,0,0,0,0,1.0923987255348202,0.7130936125018965,0,25.929297526930664,0,23.820361098467608,5.370960400546199,24.230010620543165
30022,Región de Murcia,Murcia,Jumilla,17056,100,12158,71.28,11954,126,204,0,0,0,0,19.625230048519324,0,0,0,0,0,0,0,0.9787518822151581,0.8950978751882215,0,24.719759076459763,0,29.30399866153589,10.498577881880543,12.924544085661703
30023,Región de Murcia,Murcia,Librilla,3875,100,3107,80.18,3068,20,39,0,0,0,0,15.840938722294654,0,0,0,0,0,0,0,0.7822685788787483,1.2385919165580181,0,22.033898305084747,0,27.73794002607562,14.178617992177314,17.535853976531943
30024,Región de Murcia,Murcia,Lorca,60187,97.93,44792,75.99,44375,289,415,0,0,0,0,18.11605633802817,0,0,0,0,0,0,0,1.2822535211267605,0.8585915492957746,0,23.227042253521127,0,28.054084507042255,8.461971830985915,19.3487323943662
30025,Región de Murcia,Murcia,Lorquí,5001,100,3951,79,3898,27,53,0,0,0,0,17.11133914828117,0,0,0,0,0,0,0,0.7952796305797845,1.0005130836326321,0,19.881990764494613,0,32.786044125192404,7.773217034376604,19.95895330938943
30026,Región de Murcia,Murcia,Mazarrón,16254,94.6,10507,68.33,10356,61,151,0,0,0,0,19.244882193897258,0,0,0,0,0,0,0,0.9269988412514485,1.216685979142526,0,21.07956740054075,0,26.776747779065275,8.574739281575898,21.591348010814986
30027,Región de Murcia,Murcia,Molina de Segura,49768,96.93,37858,78.48,37473,230,384,0,0,0,0,21.962479652016118,0,0,0,0,0,0,0,1.0727723961252102,1.6038214180876897,0,20.99111360179329,0,23.774450938008698,11.10132628826088,18.880260454193685
30028,Región de Murcia,Murcia,Moratalla,6400,100,4364,68.19,4289,30,75,0,0,0,0,15.29494054558172,0,0,0,0,0,0,0,0.44299370482629985,0.5362555374213104,0,18.13942643972954,0,39.589647936581954,14.94520867335043,10.352063418046164
30029,Región de Murcia,Murcia,Mula,12056,100,9003,74.68,8882,58,121,0,0,0,0,17.57487052465661,0,0,0,0,0,0,0,0.7318171582976807,1.058320198153569,0,23.102904751182166,0,33.26953388876379,9.783832470164377,13.82571492907003
30030,Región de Murcia,Murcia,Murcia,320194,94.13,235021,77.98,233066,1411,1955,0,0,0,0,20.272369200140734,0,0,0,0,0,0,0,1.4163370032522977,1.4330704607278626,0,24.173410107008316,0,22.60046510430522,10.996455939519278,18.502484274840604
30031,Región de Murcia,Murcia,Ojós,500,100,435,87,433,3,2,0,0,0,0,15.242494226327944,0,0,0,0,0,0,0,0.4618937644341801,0.9237875288683602,0,44.57274826789838,0,20.323325635103927,5.080831408775982,12.702078521939955
30032,Región de Murcia,Murcia,Pliego,2851,100,2256,79.13,2218,14,38,0,0,0,0,11.316501352569883,0,0,0,0,0,0,0,0.8115419296663661,0.5410279531109107,0,32.1009918845807,0,31.605049594229037,7.258791704238052,15.734896302975654
30033,Región de Murcia,Murcia,Puerto Lumbreras,10363,100,8115,78.31,7979,54,136,0,0,0,0,18.12257175084597,0,0,0,0,0,0,0,1.3660859756861763,1.1906253916530893,0,24.79007394410327,0,25.867903246020806,9.47487153778669,18.511091615490663
30034,Región de Murcia,Murcia,Ricote,1075,100,852,79.26,831,4,21,0,0,0,0,13.237063778580024,0,0,0,0,0,0,0,5.415162454873646,0.601684717208183,0,29.723225030084237,0,29.96389891696751,5.535499398315283,15.042117930204572
30035,Región de Murcia,Murcia,San Javier,19270,96.81,13734,73.62,13591,90,143,0,0,0,0,19.284820837318815,0,0,0,0,0,0,0,1.8320947685968656,1.5892870281804135,0,24.280774041645206,0,19.95438157604297,10.50695313074829,21.889485689058937
30036,Región de Murcia,Murcia,San Pedro del Pinatar,15258,94.36,10236,71.09,10074,53,162,0,0,0,0,18.751240817947192,0,0,0,0,0,0,0,0.6948580504268413,1.4691284494738932,0,25.809013301568395,0,20.65713718483224,8.993448481238833,23.09906690490371
30037,Región de Murcia,Murcia,Torre-Pacheco,19255,95.61,13772,74.81,13580,62,192,0,0,0,0,19.985272459499264,0,0,0,0,0,0,0,3.4388807069219443,1.1782032400589102,0,22.496318114874814,0,20.15463917525773,7.488954344624448,24.80117820324006
30038,Región de Murcia,Murcia,Las Torres de Cotillas,15679,100,11755,74.97,11675,59,80,0,0,0,0,21.396145610278374,0,0,0,0,0,0,0,0.8650963597430407,1.1820128479657388,0,22.364025695931478,0,24.822269807280513,9.08779443254818,19.77730192719486
30039,Región de Murcia,Murcia,Totana,20191,100,14637,72.49,14465,101,172,0,0,0,0,18.423781541652264,0,0,0,0,0,0,0,1.2374697545800208,1.4310404424472865,0,22.26754234358797,0,22.689249913584515,11.26857932941583,21.984099550639474
30040,Región de Murcia,Murcia,Ulea,705,100,600,85.11,596,1,4,0,0,0,0,8.221476510067115,0,0,0,0,0,0,0,1.342281879194631,1.0067114093959733,0,40.43624161073826,0,30.536912751677853,6.879194630872483,11.409395973154362
