codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
08001,Cataluña,Barcelona,Abrera,9080,86.82,6256,79.36,6220,34,36,0,0,0,0,14.421221864951768,16.109324758842444,1.3344051446945338,0,3.8263665594855305,0,0,0,0.5627009646302251,2.395498392282958,0,5.016077170418006,0,30.530546623794212,20.176848874598072,5.080385852090032
08002,Cataluña,Barcelona,Aguilar de Segarra,220,100,184,83.64,183,2,1,0,0,0,0,2.185792349726776,34.42622950819672,9.289617486338798,0,32.78688524590164,0,0,0,0,0,0,1.092896174863388,0,7.103825136612022,9.836065573770492,2.185792349726776
08003,Cataluña,Barcelona,Alella,7183,100,5761,80.2,5742,39,19,0,0,0,0,11.842563566701498,31.278300243817487,3.239289446185998,0,17.711598746081506,0,0,0,0.2612330198537095,1.4106583072100314,0,4.458376872169976,0,16.10936955764542,9.543712991988855,3.4656913967258793
08004,Cataluña,Barcelona,Alpens,209,100,194,92.82,191,0,3,0,0,0,0,1.5706806282722514,37.696335078534034,11.518324607329843,0,40.31413612565445,0,0,0,0,0,0,0,0,4.712041884816754,4.18848167539267,0
08005,Cataluña,Barcelona,L'Ametlla del Vallès,6380,100,5153,80.77,5137,18,16,0,0,0,0,9.752773992602686,32.84017909285575,3.640256959314775,0,20.16741288689897,0,0,0,0.19466614755693984,1.7325287132567646,0,3.640256959314775,0,13.276231263383298,11.173836869768348,3.2314580494452017
08006,Cataluña,Barcelona,Arenys de Mar,11774,100,9038,76.76,8980,33,58,0,0,0,0,8.151447661469934,33.19599109131403,4.565701559020044,0,17.93986636971047,0,0,0,0.30066815144766146,1.7260579064587973,0,3.964365256124722,0,16.06904231625835,11.01336302895323,2.706013363028953
08007,Cataluña,Barcelona,Arenys de Munt,6775,100,5447,80.4,5419,21,28,0,0,0,0,6.551024174201882,39.84129913268131,4.927108322568739,0,20.262040966968076,0,0,0,0.2768038383465584,1.8453589223103894,0,2.3620594205572982,0,12.031740173463739,9.651227163683336,1.8638125115334934
08008,Cataluña,Barcelona,Argençola,179,100,139,77.65,138,0,1,0,0,0,0,2.898550724637681,47.10144927536232,5.072463768115942,0,25.36231884057971,0,0,0,0,2.1739130434782608,0,1.4492753623188406,0,7.971014492753623,5.072463768115942,2.898550724637681
08009,Cataluña,Barcelona,Argentona,9482,100,7676,80.95,7641,36,35,0,0,0,0,10.325873576756969,30.3886925795053,4.449679361340139,0,16.031932993063734,0,0,0,0.34026959822012826,1.4396021463159272,0,4.358068315665489,0,16.516162805915457,12.145007198010731,3.5335689045936394
08010,Cataluña,Barcelona,Artés,4207,100,3327,79.08,3304,13,23,0,0,0,0,7.960048426150121,37.37893462469734,7.052058111380146,0,18.099273607748184,0,0,0,0.48426150121065376,1.1803874092009685,0,2.179176755447942,0,14.467312348668282,8.504842615012107,2.3002421307506054
08011,Cataluña,Barcelona,Avià,1745,100,1414,81.03,1407,10,7,0,0,0,0,1.9189765458422174,50.03553660270078,7.107320540156361,0,25.37313432835821,0,0,0,0.07107320540156362,0.42643923240938164,0,1.279317697228145,0,7.107320540156361,5.188343994314144,0.7818052594171997
