codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
13001,Castilla - La Mancha,Ciudad Real,Abenójar,1195,100,947,79.25,943,5,4,0,0,0,0,9.968186638388122,0,0,0,0,0,0,0,0.10604453870625663,0.21208907741251326,0,25.76882290562036,0,50.3711558854719,5.1961823966065745,7.847295864262991
13002,Castilla - La Mancha,Ciudad Real,Agudo,1419,100,1021,71.95,995,5,26,0,0,0,0,10.251256281407036,0,0,0,0,0,0,0,0.10050251256281408,0.3015075376884422,0,31.758793969849247,0,35.57788944723618,4.0201005025125625,17.487437185929647
13003,Castilla - La Mancha,Ciudad Real,Alamillo,449,100,346,77.06,343,0,3,0,0,0,0,9.620991253644315,0,0,0,0,0,0,0,0,0.2915451895043732,0,30.903790087463555,0,40.524781341107875,6.41399416909621,12.244897959183673
13004,Castilla - La Mancha,Ciudad Real,Albaladejo,996,100,769,77.21,763,3,6,0,0,0,0,7.99475753604194,0,0,0,0,0,0,0,0.1310615989515072,0.2621231979030144,0,28.309305373525557,0,47.96854521625164,5.111402359108781,9.82961992136304
13005,Castilla - La Mancha,Ciudad Real,Alcázar de San Juan,23191,100,18379,79.25,18119,174,260,0,0,0,0,18.50543628235554,0,0,0,0,0,0,0,0.2538771455378332,0.8720128042386445,0,18.775870633037144,0,35.80219658921574,12.533804293835201,12.296484353441139
13006,Castilla - La Mancha,Ciudad Real,Alcoba,572,100,437,76.4,430,5,7,0,0,0,0,9.069767441860465,0,0,0,0,0,0,0,0.23255813953488372,0.23255813953488372,0,35.348837209302324,0,42.55813953488372,2.558139534883721,8.837209302325581
13007,Castilla - La Mancha,Ciudad Real,Alcolea de Calatrava,1233,100,1005,81.51,967,11,38,0,0,0,0,10.754912099276112,0,0,0,0,0,0,0,0,0.31023784901758017,0,25.95656670113754,0,42.709410548086865,10.651499482936918,8.479834539813858
13008,Castilla - La Mancha,Ciudad Real,Alcubillas,427,100,304,71.19,302,0,2,0,0,0,0,17.218543046357617,0,0,0,0,0,0,0,0.33112582781456956,0.33112582781456956,0,31.456953642384107,0,36.09271523178808,3.3112582781456954,11.258278145695364
13009,Castilla - La Mancha,Ciudad Real,Aldea del Rey,1397,100,1145,81.96,1123,4,22,0,0,0,0,17.008014247551202,0,0,0,0,0,0,0,0.17809439002671415,0.26714158504007124,0,34.19412288512912,0,28.04986642920748,2.671415850400712,17.275155832591274
13010,Castilla - La Mancha,Ciudad Real,Alhambra,881,100,680,77.19,666,4,14,0,0,0,0,11.861861861861861,0,0,0,0,0,0,0,0.3003003003003003,0.45045045045045046,0,31.53153153153153,0,43.093093093093096,4.804804804804805,7.357357357357357
13011,Castilla - La Mancha,Ciudad Real,Almadén,4506,100,3111,69.04,3044,29,67,0,0,0,0,14.487516425755585,0,0,0,0,0,0,0,0.36136662286465177,0.7227332457293035,0,21.55059132720105,0,44.513797634691194,7.52299605781866,9.888304862023652
13012,Castilla - La Mancha,Ciudad Real,Almadenejos,382,100,279,73.04,277,2,2,0,0,0,0,7.581227436823105,0,0,0,0,0,0,0,0,0.36101083032490977,0,24.187725631768952,0,54.151624548736464,5.054151624548736,7.9422382671480145
