codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
11001,Andalucía,Cádiz,Alcalá de los Gazules,5250,53.31,1913,68.35,1868,20,45,0,0,0,0,14.989293361884368,0,0,0,0,0,0,0,0.69593147751606,1.0171306209850106,0,11.991434689507495,0,50.32119914346895,7.815845824411135,12.098501070663811
11002,Andalucía,Cádiz,Alcalá del Valle,4200,100,3287,78.26,3257,5,30,0,0,0,0,4.022106232729506,0,0,0,0,0,0,0,0.460546515198035,0.4298434141848327,0,3.868590727663494,0,48.050353085661655,41.72551427694197,1.289530242554498
11003,Andalucía,Cádiz,Algar,1240,100,898,72.42,876,7,22,0,0,0,0,17.69406392694064,0,0,0,0,0,0,0,0.5707762557077626,0.5707762557077626,0,24.429223744292237,0,36.3013698630137,6.735159817351598,12.899543378995434
11004,Andalucía,Cádiz,Algeciras,89557,98.98,59497,67.12,58772,732,725,0,0,0,0,20.12012522970122,0,0,0,0,0,0,0,1.2046552780235487,1.8291022936092016,0,14.867624038657864,0,28.7585925270537,12.354522561764105,19.619887021030422
11005,Andalucía,Cádiz,Algodonales,4520,100,3212,71.06,3128,23,84,0,0,0,0,14.38618925831202,0,0,0,0,0,0,0,0.7033248081841432,0.5115089514066496,0,15.792838874680307,0,47.66624040920716,13.58695652173913,6.617647058823529
11006,Andalucía,Cádiz,Arcos de la Frontera,24522,85.8,14423,68.55,14182,165,241,0,0,0,0,20.942039204625583,0,0,0,0,0,0,0,0.7756310816527994,0.9730644478916937,0,15.40685375828515,0,38.29502185869412,10.407558877450288,12.036384148921167
11007,Andalucía,Cádiz,Barbate,18020,86.39,9618,61.78,9452,149,166,0,0,0,0,18.609818027930597,0,0,0,0,0,0,0,7.384680490901396,1.30131189166314,0,14.853999153618282,0,31.707575116377487,14.39906898011003,10.16716038933559
11008,Andalucía,Cádiz,Los Barrios,17842,100,12434,69.69,12236,181,198,0,0,0,0,21.387708401438378,0,0,0,0,0,0,0,1.1686825760052304,1.6999019287348807,0,12.218045112781954,0,32.682249101013404,13.656423667865315,15.707747629944427
11009,Andalucía,Cádiz,Benaocaz,580,100,429,73.97,420,2,9,0,0,0,0,17.38095238095238,0,0,0,0,0,0,0,0.9523809523809523,0.7142857142857143,0,24.285714285714285,0,35.476190476190474,10,10.714285714285714
11010,Andalucía,Cádiz,Bornos,6351,100,4472,70.41,4385,140,87,0,0,0,0,17.83352337514253,0,0,0,0,0,0,0,1.0034207525655645,0.798175598631699,0,10.877993158494869,0,40.04561003420753,17.33181299885975,8.916761687571265
11011,Andalucía,Cádiz,El Bosque,1736,100,1285,74.02,1249,7,36,0,0,0,0,17.854283426741393,0,0,0,0,0,0,0,1.601281024819856,0.5604483586869495,0,17.934347477982385,0,34.18734987990392,13.851080864691754,13.450760608486789
11012,Andalucía,Cádiz,Cádiz,97634,96.42,70375,74.75,69714,695,661,0,0,0,0,17.092693002840175,0,0,0,0,0,0,0,1.114553748171099,2.23627965688384,0,16.088590527010357,0,28.903806982815503,25.159939180078606,8.407206586912242
11013,Andalucía,Cádiz,Castellar de la Frontera,2332,100,1747,74.91,1713,16,34,0,0,0,0,19.147694103911267,0,0,0,0,0,0,0,0.3502626970227671,0.7589025102159953,0,12.025685931115003,0,44.775248102743724,11.266783420899008,10.741389375364857
11014,Andalucía,Cádiz,Conil de la Frontera,17141,100,11836,69.05,11705,214,131,0,0,0,0,23.306279367791543,0,0,0,0,0,0,0,1.9991456642460488,1.3242204186245194,0,14.173430158052115,0,28.59461768475011,19.88893635198633,8.88509184109355
11015,Andalucía,Cádiz,Chiclana de la Frontera,64082,86.96,37339,67.01,36938,604,399,0,0,0,0,22.047755698738428,0,0,0,0,0,0,0,1.0774811846878554,1.976284584980237,0,14.080350858194812,0,27.987438410309167,16.465428555958635,14.730088255996534
11016,Andalucía,Cádiz,Chipiona,15051,87.7,8884,67.3,8756,118,128,0,0,0,0,21.996345363179532,0,0,0,0,0,0,0,0.9365006852444039,1.8730013704888078,0,14.492919141160348,0,30.402010050251256,13.750571037003198,15.201005025125628
11017,Andalucía,Cádiz,Espera,3194,100,2265,70.91,2221,38,44,0,0,0,0,15.758667266996849,0,0,0,0,0,0,0,0.8554705087798289,0.6303466906798739,0,13.642503376857272,0,45.70013507429086,15.173345339936965,6.528590724898694
11018,Andalucía,Cádiz,El Gastor,1446,64.32,734,78.92,715,1,19,0,0,0,0,12.447552447552448,0,0,0,0,0,0,0,1.2587412587412588,0.5594405594405595,0,24.895104895104897,0,43.07692307692308,5.454545454545454,12.167832167832168
11019,Andalucía,Cádiz,Grazalema,1753,100,1353,77.18,1295,7,58,0,0,0,0,15.28957528957529,0,0,0,0,0,0,0,1.6216216216216217,0.7722007722007722,0,23.243243243243242,0,37.6061776061776,10.347490347490348,10.579150579150578
11020,Andalucía,Cádiz,Jerez de la Frontera,166423,92.43,108802,70.73,107602,1309,1199,0,0,0,0,21.007973829482722,0,0,0,0,0,0,0,1.108715451385662,1.6114942101447929,0,15.483912938421218,0,30.584933365550825,15.211613167041504,13.774836898942398
11021,Andalucía,Cádiz,Jimena de la Frontera,4928,100,3592,72.89,3486,50,106,0,0,0,0,19.994262765347102,0,0,0,0,0,0,0,1.2048192771084338,0.7171543316121629,0,12.736660929432015,0,41.82444061962134,13.42512908777969,8.663224325874928
11022,Andalucía,Cádiz,La Línea de la Concepción,48683,91.08,25243,56.93,24961,267,282,0,0,0,0,20.888586194463365,0,0,0,0,0,0,0,1.241937422378911,2.4758623452586033,0,14.258242858859822,0,32.63090421056849,12.531549216778174,14.903249068546934
11023,Andalucía,Cádiz,Medina Sidonia,9373,94.93,6675,75.02,6595,91,80,0,0,0,0,17.012888551933283,0,0,0,0,0,0,0,0.45489006823351025,1.0917361637604246,0,9.234268385140258,0,45.74677786201668,15.253980288097043,9.825625473843822
11024,Andalucía,Cádiz,Olvera,6583,74.83,3571,72.49,3496,24,75,0,0,0,0,18.30663615560641,0,0,0,0,0,0,0,0.8009153318077803,0.5434782608695652,0,15.989702517162472,0,43.621281464530895,13.901601830663616,6.149885583524028
11025,Andalucía,Cádiz,Paterna de Rivera,4389,100,3092,70.45,3045,30,47,0,0,0,0,11.986863711001641,0,0,0,0,0,0,0,2.955665024630542,0.6568144499178982,0,15.829228243021346,0,53.10344827586207,9.720853858784894,4.761904761904762
11026,Andalucía,Cádiz,Prado del Rey,4695,84.43,3114,78.56,3034,17,80,0,0,0,0,19.479235332893868,0,0,0,0,0,0,0,1.7468688200395517,0.6591957811470006,0,20.40210942649967,0,33.849703361898484,9.75609756097561,13.546473302570863
11027,Andalucía,Cádiz,El Puerto de Santa María,68638,95.44,46536,71.04,46074,505,462,0,0,0,0,19.85067500108521,0,0,0,0,0,0,0,1.5475105265442548,1.6039414854364717,0,16.360637235751184,0,26.429222555020186,17.47623388462039,15.635716456135782
11028,Andalucía,Cádiz,Puerto Real,32801,100,24283,74.03,24035,279,248,0,0,0,0,13.509465363012273,0,0,0,0,0,0,0,2.0095693779904304,1.8265030164343665,0,6.985645933014354,0,38.27751196172249,29.898065321406282,6.332431870189307
11029,Andalucía,Cádiz,Puerto Serrano,5423,100,3161,58.29,3105,55,56,0,0,0,0,13.011272141706923,0,0,0,0,0,0,0,0.966183574879227,0.3864734299516908,0,11.43317230273752,0,37.35909822866345,24.573268921095007,10.499194847020934
11030,Andalucía,Cádiz,Rota,22973,95.28,15330,70.04,15108,157,222,0,0,0,0,23.682817050569234,0,0,0,0,0,0,0,0.9134233518665608,1.767275615567911,0,16.196716971141118,0,26.04580354778925,15.402435795604978,14.952343129467831
11031,Andalucía,Cádiz,San Fernando,76301,96.97,52409,70.84,51888,570,521,0,0,0,0,21.04918285538082,0,0,0,0,0,0,0,1.3972402096823928,2.1565679925994448,0,13.719935245143386,0,29.633055812519274,15.631745297563985,15.313752698119025
11032,Andalucía,Cádiz,Sanlúcar de Barrameda,54470,95.07,31505,60.84,31188,434,317,0,0,0,0,21.668590483519303,0,0,0,0,0,0,0,1.2857509298448122,1.2408618699499807,0,12.799794792869053,0,32.656791073489806,16.2851096575606,12.671540336026677
11033,Andalucía,Cádiz,San Roque,21702,100,14592,67.24,14383,190,209,0,0,0,0,20.211360634081903,0,0,0,0,0,0,0,1.300146005701175,1.5504414934297435,0,15.400125147743864,0,33.219773343530555,12.876312313147466,14.120837099353404
11034,Andalucía,Cádiz,Setenil de las Bodegas,2331,100,1708,73.27,1670,17,38,0,0,0,0,18.74251497005988,0,0,0,0,0,0,0,1.2574850299401197,0.2994011976047904,0,13.47305389221557,0,49.221556886227546,7.604790419161676,8.383233532934131
11035,Andalucía,Cádiz,Tarifa,13715,94.13,8950,69.33,8831,122,119,0,0,0,0,18.389763333710793,0,0,0,0,0,0,0,1.4720869663684746,1.596648171215038,0,15.445589400973843,0,32.64635941569471,14.879402106216736,14.188653606613068
11036,Andalucía,Cádiz,Torre Alháquime,687,100,457,66.52,447,7,10,0,0,0,0,9.395973154362416,0,0,0,0,0,0,0,0.8948545861297539,1.1185682326621924,0,21.476510067114095,0,49.88814317673378,9.172259507829978,6.487695749440716
11037,Andalucía,Cádiz,Trebujena,5644,100,4567,80.92,4433,34,134,0,0,0,0,5.91021881344462,0,0,0,0,0,0,0,0.9474396571170765,0.5413940897811865,0,6.406496729077374,0,28.96458380329348,53.214527408075796,3.2483645386871194
11038,Andalucía,Cádiz,Ubrique,13613,94.96,10370,80.22,10172,93,196,0,0,0,0,22.807707432166733,0,0,0,0,0,0,0,1.386158081006685,1.1403853716083365,0,20.871018482107747,0,31.950452221785294,8.395595753047582,12.534408179315768
11039,Andalucía,Cádiz,Vejer de la Frontera,9945,89.72,6134,68.74,6046,102,88,0,0,0,0,15.547469401257029,0,0,0,0,0,0,0,0.942772080714522,1.1908699966920278,0,27.472709229242476,0,36.784651008931526,9.956996361230566,6.417466093284816
11040,Andalucía,Cádiz,Villaluenga del Rosario,398,100,348,87.44,342,4,6,0,0,0,0,14.32748538011696,0,0,0,0,0,0,0,0.8771929824561403,0.29239766081871343,0,9.649122807017545,0,61.111111111111114,4.678362573099415,7.894736842105263
11041,Andalucía,Cádiz,Villamartín,9858,100,6917,70.17,6763,70,153,0,0,0,0,21.58805263936123,0,0,0,0,0,0,0,2.025728227118143,1.0794026319680614,0,17.033860712701465,0,36.01951796539997,10.128641135590714,11.089753068165015
11042,Andalucía,Cádiz,Zahara,1155,100,870,75.32,852,7,18,0,0,0,0,13.967136150234742,0,0,0,0,0,0,0,0.4694835680751174,0.9389671361502347,0,19.131455399061032,0,47.53521126760563,4.694835680751174,12.44131455399061
11901,Andalucía,Cádiz,Benalup-Casas Viejas,5698,100,4167,73.13,4080,81,87,0,0,0,0,15.980392156862745,0,0,0,0,0,0,0,1.2990196078431373,0.7107843137254902,0,12.401960784313726,0,48.38235294117647,12.132352941176471,7.107843137254902
11902,Andalucía,Cádiz,San José del Valle,3656,100,2427,66.38,2383,29,44,0,0,0,0,15.694502727654218,0,0,0,0,0,0,0,0.7973143096936635,0.7133864876206463,0,20.184641208560638,0,42.63533361309274,6.4624422996223245,12.29542593369702
