codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
23001,Andalucía,Jaén,Albanchez de Mágina,920,100,769,83.59,766,3,3,0,0,0,0,16.057441253263708,0,0,0,0,0,0,0,0.5221932114882507,0.5221932114882507,0,19.06005221932115,0,46.47519582245431,6.396866840731071,10.574412532637076
23002,Andalucía,Jaén,Alcalá la Real,17399,100,13575,78.02,13341,97,234,0,0,0,0,18.77670339554756,0,0,0,0,0,0,0,0.8245258976088748,0.8170302076306124,0,18.604302526047523,0,40.15441121355221,8.200284836219174,11.895659995502585
23003,Andalucía,Jaén,Alcaudete,8644,100,6604,76.4,6523,36,81,0,0,0,0,13.552046604323165,0,0,0,0,0,0,0,0.7051969952475855,0.8431703204047217,0,19.96014103939905,0,46.65031427257397,5.151004139199754,12.58623332822321
23004,Andalucía,Jaén,Aldeaquemada,421,100,356,84.56,355,2,1,0,0,0,0,33.23943661971831,0,0,0,0,0,0,0,0,0.8450704225352113,0,12.67605633802817,0,32.394366197183096,5.352112676056338,14.929577464788732
23005,Andalucía,Jaén,Andújar,29942,74.76,14545,64.98,14342,145,203,0,0,0,0,17.06874912843397,0,0,0,0,0,0,0,1.3038627806442615,1.0179891228559477,0,19.899595593362154,0,36.591828196904196,8.834193278482777,14.272765304699485
23006,Andalucía,Jaén,Arjona,4582,100,3607,78.72,3543,32,64,0,0,0,0,12.84222410386678,0,0,0,0,0,0,0,0.6209427039232289,0.4515946937623483,0,17.27349703640982,0,57.86057013830087,4.911092294665537,5.136889641546712
23007,Andalucía,Jaén,Arjonilla,3026,100,2317,76.57,2301,13,16,0,0,0,0,19.947848761408082,0,0,0,0,0,0,0,0.5649717514124294,1.0430247718383312,0,16.992611907866145,0,46.41460234680574,6.388526727509778,8.083441981747066
23008,Andalucía,Jaén,Arquillos,1434,100,1155,80.54,1133,6,22,0,0,0,0,10.679611650485437,0,0,0,0,0,0,0,0.529567519858782,0.353045013239188,0,13.150926743159753,0,56.39894086496028,11.738746690203001,6.619593998234775
23009,Andalucía,Jaén,Baeza,12808,100,10348,80.79,10233,66,115,0,0,0,0,16.358839050131927,0,0,0,0,0,0,0,0.3811199061858693,0.6156552330694811,0,23.658751099384343,0,34.24215772500733,7.495358154988762,16.603146682302356
23010,Andalucía,Jaén,Bailén,14241,95.51,9786,71.95,9620,62,166,0,0,0,0,18.014553014553016,0,0,0,0,0,0,0,0.8004158004158004,1.0083160083160083,0,19.823284823284823,0,35.91476091476091,8.461538461538462,15.332640332640333
23011,Andalucía,Jaén,Baños de la Encina,2136,100,1649,77.2,1614,11,35,0,0,0,0,13.506815365551425,0,0,0,0,0,0,0,1.1152416356877324,0.49566294919454773,0,12.267657992565056,0,50.24783147459728,15.055762081784387,6.629491945477076
23012,Andalucía,Jaén,Beas de Segura,4018,100,2835,70.56,2804,15,31,0,0,0,0,13.587731811697575,0,0,0,0,0,0,0,0.6419400855920114,0.21398002853067047,0,17.796005706134093,0,45.93437945791726,5.1355206847360915,16.15549215406562
23014,Andalucía,Jaén,Begíjar,2552,100,2056,80.56,2020,11,36,0,0,0,0,13.118811881188119,0,0,0,0,0,0,0,0.5445544554455446,0.9900990099009901,0,21.435643564356436,0,41.83168316831683,12.821782178217822,8.712871287128714
