codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
25001,Cataluña,Lleida,Abella de la Conca,139,100,104,74.82,103,1,1,0,0,0,0,2.912621359223301,37.86407766990291,3.883495145631068,0,27.184466019417474,0,0,0,0,0,0,0,0,14.563106796116505,12.62135922330097,0
25002,Cataluña,Lleida,Àger,467,100,357,76.45,356,2,1,0,0,0,0,2.808988764044944,39.8876404494382,8.146067415730338,0,23.314606741573034,0,0,0,0.2808988764044944,0.8426966292134831,0,4.49438202247191,0,11.51685393258427,6.741573033707865,1.404494382022472
25003,Cataluña,Lleida,Agramunt,3721,66.27,1887,76.52,1878,15,9,0,0,0,0,6.762513312034079,41.9062832800852,1.650692225772098,0,24.76038338658147,0,0,0,0.42598509052183176,0.9584664536741214,0,3.9403620873269434,0,10.649627263045794,6.17678381256656,1.9701810436634717
25004,Cataluña,Lleida,Els Alamús,575,100,470,81.74,467,2,3,0,0,0,0,4.282655246252677,36.188436830835116,1.7130620985010707,0,31.69164882226981,0,0,0,0,0.6423982869379015,0,2.355460385438972,0,11.991434689507495,8.35117773019272,2.355460385438972
25005,Cataluña,Lleida,Alàs i Cerc,274,100,202,73.72,202,2,0,0,0,0,0,4.455445544554456,38.118811881188115,3.9603960396039604,0,29.207920792079207,0,0,0,0.49504950495049505,0,0,1.4851485148514851,0,15.346534653465346,3.9603960396039604,1.9801980198019802
25006,Cataluña,Lleida,L'Albagés,317,100,246,77.6,245,3,1,0,0,0,0,5.3061224489795915,38.36734693877551,3.673469387755102,0,16.73469387755102,0,0,0,0.40816326530612246,0,0,5.714285714285714,0,20,6.530612244897959,2.0408163265306123
25007,Cataluña,Lleida,Albatàrrec,1392,100,1089,78.23,1083,4,6,0,0,0,0,8.21791320406279,35.8264081255771,2.677746999076639,0,16.712834718374886,0,0,0,0.2770083102493075,2.308402585410896,0,3.8781163434903045,0,16.62049861495845,9.787626962142198,3.3240997229916895
25008,Cataluña,Lleida,Albesa,1088,100,867,79.69,857,7,10,0,0,0,0,5.834305717619603,44.340723453908986,1.9836639439906651,0,25.670945157526255,0,0,0,0,0.3500583430571762,0,6.417736289381564,0,9.801633605600934,4.084014002333722,0.7001166861143524
25009,Cataluña,Lleida,L'Albi,605,100,505,83.47,491,5,14,0,0,0,0,5.091649694501018,39.10386965376782,2.443991853360489,0,27.087576374745417,0,0,0,0,0.6109979633401222,0,6.109979633401222,0,11.812627291242363,5.295315682281059,1.4256619144602851
25010,Cataluña,Lleida,Alcanó,196,100,156,79.59,155,2,1,0,0,0,0,2.5806451612903225,50.32258064516129,3.870967741935484,0,27.096774193548388,0,0,0,0,3.225806451612903,0,0,0,5.806451612903226,5.806451612903226,0
25011,Cataluña,Lleida,Alcarràs,5260,43.14,1717,75.67,1699,13,18,0,0,0,0,4.414361389052384,26.07416127133608,1.0594467333725721,0,8.122424955856387,0,0,0,9.005297233666862,3.531489111241907,0,9.94702766333137,0,30.782813419658623,5.356091818716893,0.9417304296645085
25012,Cataluña,Lleida,Alcoletge,2342,100,1748,74.64,1739,10,9,0,0,0,0,11.213341000575044,31.167337550316272,3.105232892466935,0,15.296147211040829,0,0,0,0.5175388154111559,1.5526164462334675,0,3.9677975848188614,0,17.5963197239793,12.535940195514664,2.472685451408856
25013,Cataluña,Lleida,Alfarràs,2108,55.08,905,77.95,897,4,8,0,0,0,0,8.807134894091416,25.52954292084727,1.1148272017837235,0,16.61092530657748,0,0,0,0.6688963210702341,0.8918617614269788,0,6.688963210702341,0,25.52954292084727,8.249721293199554,5.4626532887402455
25014,Cataluña,Lleida,Alfés,249,100,203,81.53,200,2,3,0,0,0,0,0,45.5,10,0,28,0,0,0,0,0,0,2,0,5.5,8,0
25015,Cataluña,Lleida,Algerri,335,100,262,78.21,260,8,2,0,0,0,0,6.923076923076923,41.15384615384615,3.076923076923077,0,25,0,0,0,0.7692307692307693,1.5384615384615385,0,3.4615384615384617,0,7.3076923076923075,6.923076923076923,0.7692307692307693
25016,Cataluña,Lleida,Alguaire,2083,100,1590,76.33,1587,8,3,0,0,0,0,5.73408947700063,42.028985507246375,2.205419029615627,0,23.18840579710145,0,0,0,0.1260239445494644,0.5040957781978576,0,3.5286704473850032,0,13.73660995589162,7.3724007561436675,1.0712035286704473
25017,Cataluña,Lleida,Alins,232,100,184,79.31,181,0,3,0,0,0,0,1.1049723756906078,45.85635359116022,2.2099447513812156,0,30.939226519337016,0,0,0,0,0.5524861878453039,0,3.314917127071823,0,12.707182320441989,3.314917127071823,0
25019,Cataluña,Lleida,Almacelles,4646,67.24,2247,71.93,2229,15,18,0,0,0,0,9.376401973979362,28.263795423956932,2.1534320323014806,0,17.541498429789144,0,0,0,0.31404217137729923,0.8075370121130552,0,5.204127411395245,0,22.162404665769404,10.991475998205473,2.512337371018394
25020,Cataluña,Lleida,Almatret,274,100,221,80.66,221,2,0,0,0,0,0,7.6923076923076925,41.6289592760181,2.262443438914027,0,27.149321266968325,0,0,0,0,0,0,6.334841628959276,0,9.95475113122172,3.167420814479638,0.9049773755656109
25021,Cataluña,Lleida,Almenar,2541,63.44,1154,71.59,1150,9,4,0,0,0,0,6.869565217391305,37.04347826086956,2.6956521739130435,0,18.17391304347826,0,0,0,0.08695652173913043,1.4782608695652173,0,3.9130434782608696,0,19.565217391304348,7.130434782608695,2.260869565217391
25022,Cataluña,Lleida,Alòs de Balaguer,107,100,88,82.24,88,0,0,0,0,0,0,3.409090909090909,50,1.1363636363636365,0,34.09090909090909,0,0,0,0,1.1363636363636365,0,2.272727272727273,0,3.409090909090909,4.545454545454546,0
25023,Cataluña,Lleida,Alpicat,4528,100,3621,79.97,3601,23,20,0,0,0,0,10.524854207164676,33.296306581505135,2.3882254929186337,0,20.605387392391002,0,0,0,0.22216051096917522,0.9441821716189948,0,4.332129963898917,0,15.07914468203277,8.219938905859484,3.748958622604832
25024,Cataluña,Lleida,Alt Àneu,352,100,273,77.56,272,0,1,0,0,0,0,1.1029411764705883,47.4264705882353,0.7352941176470589,0,31.25,0,0,0,0,0.36764705882352944,0,0.36764705882352944,0,11.397058823529411,6.985294117647059,0.36764705882352944
