codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
27001,Galicia,Lugo,Abadín,2212,100,1290,58.32,1251,25,39,0,4.396482813749,0,0,5.115907274180655,0,0,0,0,0.47961630695443647,0,0,0.3996802557953637,0.47961630695443647,0,50.19984012789768,0,23.421262989608312,5.5155875299760195,7.9936051159072745
27002,Galicia,Lugo,Alfoz,1546,100,1136,73.48,1103,9,33,0,5.077062556663645,0,0,6.074342701722575,0,0,0,0,0.45330915684496825,0,0,0.6346328195829556,1.087941976427924,0,34.904805077062555,0,43.15503173164098,5.621033544877607,2.175883952855848
27003,Galicia,Lugo,Antas de Ulla,1772,100,1271,71.73,1241,6,30,0,3.7872683319903304,0,0,6.688154713940371,0,0,0,0,0.9669621273166801,0,0,0.16116035455278002,0.8863819500402901,0,47.13940370668816,0,28.44480257856567,6.285253827558421,5.157131345688961
27004,Galicia,Lugo,Baleira,1149,100,741,64.49,722,2,19,0,3.601108033240997,0,0,5.401662049861496,0,0,0,0,0,0,0,0,0,0,46.53739612188366,0,30.886426592797783,5.54016620498615,7.756232686980609
27005,Galicia,Lugo,Barreiros,2551,100,1908,74.79,1868,26,40,0,11.830835117773018,0,0,6.477516059957173,0,0,0,0,0.588865096359743,0,0,0.588865096359743,1.0171306209850106,0,34.261241970021416,0,28.37259100642398,9.421841541755889,6.049250535331906
27006,Galicia,Lugo,Becerreá,2458,84.09,1452,70.25,1414,21,38,0,3.041018387553041,0,0,8.274398868458274,0,0,0,0,1.2022630834512023,0,0,0.07072135785007072,0.4243281471004243,0,36.84582743988685,0,32.03677510608204,6.930693069306931,9.688826025459688
27007,Galicia,Lugo,Begonte,2756,100,2148,77.94,2084,29,64,0,2.783109404990403,0,0,4.750479846449136,0,0,0,0,0.7197696737044146,0,0,0.14395393474088292,0.19193857965451055,0,51.00767754318618,0,26.871401151631478,7.005758157389636,5.134357005758157
27008,Galicia,Lugo,Bóveda,1345,100,965,71.75,946,17,19,0,3.699788583509514,0,0,4.7568710359408035,0,0,0,0,0.7399577167019028,0,0,0.6342494714587738,0.21141649048625794,0,42.07188160676533,0,35.62367864693446,6.871035940803383,3.5940803382663846
27009,Galicia,Lugo,Carballedo,2023,100,1514,74.84,1488,17,26,0,2.889784946236559,0,0,5.309139784946237,0,0,0,0,0.739247311827957,0,0,0.06720430107526881,0.4032258064516129,0,54.166666666666664,0,27.150537634408604,4.301075268817204,3.8306451612903225
27010,Galicia,Lugo,Castro de Rei,4402,100,3015,68.49,2940,49,75,0,6.394557823129252,0,0,5.068027210884353,0,0,0,0,1.4625850340136055,0,0,0.6122448979591837,0.47619047619047616,0,39.863945578231295,0,27.92517006802721,9.251700680272108,7.27891156462585
27011,Galicia,Lugo,Castroverde,2358,100,1582,67.09,1558,12,24,0,6.290115532734275,0,0,6.290115532734275,0,0,0,0,0.6418485237483954,0,0,0.3209242618741977,0.3209242618741977,0,31.514762516046215,0,40.75738125802311,7.894736842105263,5.198973042362002
27012,Galicia,Lugo,Cervantes,1276,100,776,60.82,768,9,8,0,3.125,0,0,5.208333333333333,0,0,0,0,0.6510416666666666,0,0,0.13020833333333334,0,0,36.197916666666664,0,45.182291666666664,3.515625,4.817708333333333
27013,Galicia,Lugo,Cervo,3684,100,2997,81.35,2935,26,62,0,6.507666098807496,0,0,5.587734241908007,0,0,0,0,1.2947189097103917,0,0,0.7155025553662692,1.2265758091993186,0,30.051107325383306,0,32.53833049403748,18.091993185689947,3.1005110732538332
27014,Galicia,Lugo,O Corgo,3618,67.74,1725,70.38,1688,12,37,0,5.213270142180095,0,0,9.71563981042654,0,0,0,0,0.533175355450237,0,0,0.2962085308056872,0.4146919431279621,0,36.90758293838863,0,33.2345971563981,6.6350710900473935,6.338862559241706
27015,Galicia,Lugo,Cospeito,4022,100,2809,69.84,2730,33,79,0,3.8827838827838828,0,0,5.5677655677655675,0,0,0,0,1.1721611721611722,0,0,0.32967032967032966,0.40293040293040294,0,42.82051282051282,0,31.64835164835165,7.582417582417582,5.384615384615385
27016,Galicia,Lugo,Chantada,6973,37.69,1962,74.66,1926,26,36,0,3.790238836967809,0,0,7.840083073727934,0,0,0,0,1.7653167185877465,0,0,0.726895119418484,0.5711318795430945,0,36.70820353063344,0,32.91796469366563,8.566978193146417,5.7632398753894085
27017,Galicia,Lugo,Folgoso do Courel,1407,36.6,341,66.21,333,0,8,0,2.7027027027027026,0,0,7.5075075075075075,0,0,0,0,6.306306306306307,0,0,0,1.2012012012012012,0,36.93693693693694,0,39.93993993993994,4.2042042042042045,1.2012012012012012
27018,Galicia,Lugo,A Fonsagrada,3232,100,2114,65.41,2089,24,25,0,5.026328386787937,0,0,4.547630445189085,0,0,0,0,0.6701771182383915,0,0,0.19147917663954045,0.47869794159885115,0,31.977022498803255,0,44.32742939205362,7.276208712302537,4.356151268549545
27019,Galicia,Lugo,Foz,8189,86.92,5329,74.87,5231,85,98,0,6.72911489199006,0,0,10.667176448097878,0,0,0,0,0.9749569871917415,0,0,0.47792009176065764,1.0323073982030204,0,25.673867329382528,0,33.93232651500669,13.056776906901167,5.830625119480023
27020,Galicia,Lugo,Friol,3380,100,2764,81.78,2713,32,51,0,2.9856247696277185,0,0,3.9808330261702913,0,0,0,0,0.8477699963140435,0,0,0.22115739034279394,0.4791743457427202,0,58.82786583118319,0,23.81127902690748,4.718024327312937,2.948765204570586
27021,Galicia,Lugo,Xermade,1649,100,1080,65.49,1048,14,32,0,5.057251908396947,0,0,5.438931297709924,0,0,0,0,1.1450381679389312,0,0,0.4770992366412214,0.8587786259541985,0,37.5,0,34.44656488549618,8.683206106870228,5.057251908396947
27022,Galicia,Lugo,Guitiriz,4683,100,3131,66.86,3059,30,72,0,5.753514220333442,0,0,6.374632232755802,0,0,0,0,0.9807126511932004,0,0,0.32690421706440015,0.3922850604772802,0,34.52108532200065,0,34.455704478587776,11.441647597254004,4.772801569140242
27023,Galicia,Lugo,Guntín,2470,100,1833,74.21,1797,20,36,0,3.1719532554257097,0,0,5.45353366722315,0,0,0,0,1.1686143572621035,0,0,0.27824151363383415,0.333889816360601,0,52.25375626043406,0,27.323316638842517,4.117974401780746,4.785754034501948
27024,Galicia,Lugo,O Incio,1451,100,1122,77.33,1102,5,20,0,4.718693284936479,0,0,3.176043557168784,0,0,0,0,0.4537205081669691,0,0,0.09074410163339383,0.6352087114337568,0,46.188747731397456,0,36.56987295825771,5.716878402903811,1.9963702359346642
27025,Galicia,Lugo,Xove,2743,100,2191,79.88,2138,31,53,0,7.390084190832554,0,0,6.5481758652946676,0,0,0,0,1.9176800748362957,0,0,0.3274087932647334,0.7015902712815716,0,39.2422825070159,0,25.724976613657624,12.862488306828812,3.8353601496725913
27026,Galicia,Lugo,Láncara,2315,100,1620,69.98,1599,17,21,0,5.065666041275797,0,0,8.505315822388994,0,0,0,0,0.4377736085053158,0,0,0.2501563477173233,0.31269543464665417,0,33.771106941838646,0,36.39774859287054,8.380237648530331,5.816135084427767
27027,Galicia,Lugo,Lourenzá,1806,100,1392,77.08,1354,18,38,0,6.573116691285081,0,0,6.203840472673559,0,0,0,0,0.8124076809453471,0,0,1.1078286558345642,0.7385524372230429,0,33.75184638109306,0,37.07533234859675,7.385524372230428,5.022156573116692
27028,Galicia,Lugo,Lugo,78802,100,58316,74,57546,629,770,0,4.406909255204532,0,0,12.661175407500087,0,0,0,0,1.1955652869009141,0,0,0.7176867201890661,1.0131025614291176,0,25.868001251172974,0,34.29430368748479,12.033851179925625,6.716366037604699
27029,Galicia,Lugo,Meira,1427,100,1068,74.84,1047,13,21,0,5.730659025787966,0,0,6.017191977077364,0,0,0,0,0.7640878701050621,0,0,0.28653295128939826,0.6685768863419294,0,36.38968481375358,0,34.19293218720153,7.9274116523400195,6.781279847182426
27030,Galicia,Lugo,Mondoñedo,3134,100,2209,70.49,2162,27,47,0,6.105457909343201,0,0,4.3478260869565215,0,0,0,0,2.3126734505087883,0,0,0.4162812210915819,0.6475485661424607,0,42.73820536540241,0,29.740980573543016,8.094357076780758,4.3478260869565215
27031,Galicia,Lugo,Monforte de Lemos,15212,95.17,10340,71.42,10168,117,172,0,3.511014948859166,0,0,11.103461841070024,0,0,0,0,1.2490165224232888,0,0,0.44256490952006294,0.983477576711251,0,27.911093627065302,0,36.1624704956727,10.631392604248623,6.854838709677419
27032,Galicia,Lugo,Monterroso,3194,46.74,981,65.71,955,9,26,0,3.141361256544503,0,0,6.806282722513089,0,0,0,0,0.9424083769633508,0,0,0.2094240837696335,0.2094240837696335,0,43.1413612565445,0,31.93717277486911,7.015706806282722,5.654450261780105
27033,Galicia,Lugo,Muras,598,100,423,70.74,415,1,8,0,8.19277108433735,0,0,0.963855421686747,0,0,0,0,1.6867469879518073,0,0,0,0.7228915662650602,0,43.855421686746986,0,33.734939759036145,7.228915662650603,3.3734939759036147
27034,Galicia,Lugo,Navia de Suarna,1025,100,647,63.12,636,4,11,0,3.459119496855346,0,0,3.459119496855346,0,0,0,0,0.9433962264150944,0,0,0,0.15723270440251572,0,35.22012578616352,0,43.23899371069182,6.918238993710692,5.9748427672955975
27035,Galicia,Lugo,Negueira de Muñiz,180,100,127,70.56,123,0,4,0,7.317073170731708,0,0,4.878048780487805,0,0,0,0,0.8130081300813008,0,0,0,0,0,21.13821138211382,0,43.08943089430894,17.073170731707318,5.691056910569106
27037,Galicia,Lugo,As Nogais,1017,100,759,74.63,748,10,11,0,1.7379679144385027,0,0,2.9411764705882355,0,0,0,0,0.13368983957219252,0,0,0.13368983957219252,0.26737967914438504,0,48.93048128342246,0,32.62032085561497,5.213903743315508,6.684491978609626
27038,Galicia,Lugo,Ourol,923,100,688,74.54,677,12,11,0,2.06794682422452,0,0,5.317577548005908,0,0,0,0,0.29542097488921715,0,0,0.29542097488921715,0.4431314623338257,0,34.56425406203841,0,45.19940915805022,8.124076809453472,1.9202363367799113
27039,Galicia,Lugo,Outeiro de Rei,4430,70.5,2439,78.1,2382,36,57,0,5.079764903442485,0,0,9.109991603694375,0,0,0,0,0.797649034424853,0,0,0.2938706968933669,0.797649034424853,0,39.71452560873216,0,26.574307304785894,9.907640638119227,6.2132661628883294
27040,Galicia,Lugo,Palas de Rei,3035,100,2285,75.29,2234,19,51,0,3.4467323187108327,0,0,4.252461951656222,0,0,0,0,0.6714413607878246,0,0,0.13428827215756492,0.17905102954341987,0,51.25335720680394,0,29.230080572963296,6.401074306177261,3.5810205908683974
