codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
31001,Comunidad Foral de Navarra,Navarra,Abáigar,80,100,63,78.75,63,0,0,17.46031746031746,0,0,0,0,0,0,14.285714285714286,0,0,25.396825396825395,0,1.5873015873015872,1.5873015873015872,0,0,0,15.873015873015873,23.80952380952381,0
31002,Comunidad Foral de Navarra,Navarra,Abárzuza / Abartzuza,433,100,324,74.83,324,4,0,15.74074074074074,0,0,0,0,0,0,8.950617283950617,0,0,31.48148148148148,0,0.30864197530864196,0.30864197530864196,0,0,0,13.580246913580247,24.691358024691358,3.7037037037037037
31003,Comunidad Foral de Navarra,Navarra,Abaurregaina / Abaurrea Alta,117,100,97,82.91,97,1,0,38.144329896907216,0,0,0,0,0,0,8.24742268041237,0,0,16.49484536082474,0,0,0,0,0,0,22.68041237113402,12.371134020618557,1.0309278350515463
31004,Comunidad Foral de Navarra,Navarra,Abaurrepea / Abaurrea Baja,32,100,26,81.25,26,0,0,11.538461538461538,0,0,0,0,0,0,11.538461538461538,0,0,42.30769230769231,0,0,0,0,0,0,15.384615384615385,19.23076923076923,0
31005,Comunidad Foral de Navarra,Navarra,Aberin,281,100,202,71.89,201,5,1,7.960199004975125,0,0,0,0,0,0,1.9900497512437811,0,0,35.32338308457712,0,0.4975124378109453,3.482587064676617,0,0,0,29.35323383084577,14.427860696517413,4.477611940298507
31006,Comunidad Foral de Navarra,Navarra,Ablitas,1877,100,1453,77.41,1436,16,17,1.8105849582172702,0,0,0,0,0,0,0.48746518105849584,0,0,33.70473537604457,0,0.4178272980501393,0.6267409470752089,0,0,0,38.3008356545961,15.389972144846796,8.147632311977716
31007,Comunidad Foral de Navarra,Navarra,Adiós,126,100,101,80.16,95,3,6,10.526315789473685,0,0,0,0,0,0,4.2105263157894735,0,0,40,0,1.0526315789473684,2.1052631578947367,0,0,0,20,15.789473684210526,3.1578947368421053
31008,Comunidad Foral de Navarra,Navarra,Aguilar de Codés,63,100,51,80.95,49,1,2,6.122448979591836,0,0,0,0,0,0,4.081632653061225,0,0,51.02040816326531,0,2.0408163265306123,0,0,0,0,18.367346938775512,16.3265306122449,0
31009,Comunidad Foral de Navarra,Navarra,Aibar / Oibar,672,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31010,Comunidad Foral de Navarra,Navarra,Altsasu / Alsasua,5728,100,4211,73.52,4153,30,58,26.848061642186373,0,0,0,0,0,0,14.23067661931134,0,0,11.485673007464484,0,0.4815795810257645,0.6982903924873586,0,0,0,21.815555020467134,21.382133397543946,2.335660967974958
31011,Comunidad Foral de Navarra,Navarra,Allín / Allin,709,100,515,72.64,511,4,4,13.111545988258317,0,0,0,0,0,0,7.8277886497064575,0,0,32.28962818003914,0,1.1741682974559686,0.19569471624266144,0,0,0,18.786692759295498,21.91780821917808,3.9138943248532287
31012,Comunidad Foral de Navarra,Navarra,Allo,771,100,571,74.06,564,5,7,6.914893617021277,0,0,0,0,0,0,2.6595744680851063,0,0,25.886524822695037,0,0.5319148936170213,0.5319148936170213,0,0,0,39.53900709219858,19.326241134751772,3.723404255319149
