codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
41001,Andalucía,Sevilla,Aguadulce,1565,100,1224,78.21,1213,8,11,0,0,0,0,10.222588623248145,0,0,0,0,0,0,0,0.41220115416323166,0.5770816158285244,0,15.663643858202803,0,45.25968672712283,21.022258862324815,6.183017312448475
41002,Andalucía,Sevilla,Alanís,1427,100,1057,74.07,1024,5,33,0,0,0,0,18.1640625,0,0,0,0,0,0,0,0.78125,0.78125,0,18.359375,0,44.62890625,7.32421875,9.47265625
41003,Andalucía,Sevilla,Albaida del Aljarafe,2371,100,1801,75.96,1760,8,41,0,0,0,0,9.772727272727273,0,0,0,0,0,0,0,0.9090909090909091,1.0227272727272727,0,24.204545454545453,0,43.86363636363637,9.318181818181818,10.454545454545455
41004,Andalucía,Sevilla,Alcalá de Guadaíra,57465,98.92,40803,71.78,40124,569,679,0,0,0,0,17.96929518492673,0,0,0,0,0,0,0,1.9713886950453594,1.9414814076363274,0,11.631442528162696,0,35.19589273252916,17.204167082045657,12.668228491675805
41005,Andalucía,Sevilla,Alcalá del Río,9250,100,6925,74.86,6809,69,116,0,0,0,0,16.287266852694962,0,0,0,0,0,0,0,1.1455426641210162,1.2189748861800558,0,13.08562197092084,0,39.63871346746953,16.94815685122632,10.662358642972537
41006,Andalucía,Sevilla,Alcolea del Río,2738,100,1971,71.99,1945,16,26,0,0,0,0,11.053984575835475,0,0,0,0,0,0,0,0.5141388174807198,0.6683804627249358,0,12.956298200514139,0,57.17223650385604,10.025706940874036,6.786632390745501
41007,Andalucía,Sevilla,La Algaba,12438,100,9009,72.43,8775,135,234,0,0,0,0,14.792022792022792,0,0,0,0,0,0,0,1.0484330484330484,1.1282051282051282,0,9.2991452991453,0,44.433048433048434,17.15099715099715,10.60968660968661
41008,Andalucía,Sevilla,Algámitas,1040,100,840,80.77,822,4,18,0,0,0,0,7.785888077858881,0,0,0,0,0,0,0,1.094890510948905,0.6082725060827251,0,8.394160583941606,0,64.11192214111922,11.19221411192214,6.326034063260341
41009,Andalucía,Sevilla,Almadén de la Plata,1167,100,820,70.27,805,4,15,0,0,0,0,21.987577639751553,0,0,0,0,0,0,0,0.2484472049689441,0.37267080745341613,0,16.8944099378882,0,45.590062111801245,5.341614906832298,9.06832298136646
41010,Andalucía,Sevilla,Almensilla,4573,100,3407,74.5,3345,27,62,0,0,0,0,14.648729446935725,0,0,0,0,0,0,0,1.195814648729447,2.0029895366218238,0,11.2406576980568,0,35.21674140508221,21.674140508221225,13.213751868460388
