codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
44001,Aragón, Teruel,Ababuj,65,100,51,78.46,50,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,26,0,26,18,14
44002,Aragón, Teruel,Abejuela,46,100,42,91.3,42,0,0,0,0,0,0,7.142857142857143,0,0,0,0,0,0,0,0,0,0,30.952380952380953,0,42.857142857142854,14.285714285714286,4.761904761904762
44003,Aragón, Teruel,Aguatón,17,100,14,82.35,14,0,0,0,0,0,0,28.571428571428573,0,0,0,0,0,0,0,7.142857142857143,0,0,35.714285714285715,0,14.285714285714286,0,14.285714285714286
44004,Aragón, Teruel,Aguaviva,379,100,312,82.32,310,5,2,0,0,0,0,13.870967741935484,0,0,0,0,0,0,0,0.3225806451612903,0.6451612903225806,0,23.548387096774192,0,28.06451612903226,19.35483870967742,12.580645161290322
44005,Aragón, Teruel,Aguilar del Alfambra,46,100,31,67.39,31,1,0,0,0,0,0,25.806451612903224,0,0,0,0,0,0,0,3.225806451612903,0,0,32.25806451612903,0,25.806451612903224,0,9.67741935483871
44006,Aragón, Teruel,Alacón,223,100,171,76.68,169,2,2,0,0,0,0,23.076923076923077,0,0,0,0,0,0,0,0.591715976331361,0,0,27.218934911242602,0,39.053254437869825,5.9171597633136095,2.9585798816568047
44007,Aragón, Teruel,Alba,152,100,120,78.95,117,0,3,0,0,0,0,18.803418803418804,0,0,0,0,0,0,0,3.4188034188034186,0,0,37.60683760683761,0,21.367521367521366,1.7094017094017093,17.094017094017094
44008,Aragón, Teruel,Albalate del Arzobispo,1565,100,1158,73.99,1138,8,20,0,0,0,0,12.741652021089632,0,0,0,0,0,0,0,0.43936731107205623,0.351493848857645,0,21.0896309314587,0,45.16695957820738,8.43585237258348,11.072056239015817
44009,Aragón, Teruel,Albarracín,799,100,621,77.72,611,7,10,0,0,0,0,16.857610474631752,0,0,0,0,0,0,0,0.8183306055646481,0.4909983633387889,0,18.330605564648117,0,42.88052373158756,8.346972176759412,11.129296235679215
44010,Aragón, Teruel,Albentosa,184,100,137,74.46,137,1,0,0,0,0,0,17.51824817518248,0,0,0,0,0,0,0,0,0,0,26.277372262773724,0,32.11678832116788,10.218978102189782,13.138686131386862
44011,Aragón, Teruel,Alcaine,48,100,32,66.67,32,1,0,0,0,0,0,21.875,0,0,0,0,0,0,0,0,3.125,0,21.875,0,31.25,3.125,15.625
