codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
45001,Castilla - La Mancha,Toledo,Ajofrín,1838,100,1371,74.59,1340,12,31,0,0,0,0,15.82089552238806,0,0,0,0,0,0,0,0.29850746268656714,0.6716417910447762,0,22.313432835820894,0,37.76119402985075,8.059701492537313,14.17910447761194
45002,Castilla - La Mancha,Toledo,Alameda de la Sagra,2608,100,1840,70.55,1821,7,19,0,0,0,0,17.078528281164196,0,0,0,0,0,0,0,0.054914881933003847,0.6589785831960461,0,17.682591982427237,0,33.82756727073037,11.477210323997804,18.83580450302032
45003,Castilla - La Mancha,Toledo,Albarreal de Tajo,550,100,435,79.09,431,4,4,0,0,0,0,16.937354988399072,0,0,0,0,0,0,0,0,1.3921113689095128,0,24.593967517401392,0,32.01856148491879,6.728538283062645,17.40139211136891
45004,Castilla - La Mancha,Toledo,Alcabón,552,100,434,78.62,434,4,0,0,0,0,0,10.829493087557603,0,0,0,0,0,0,0,0.6912442396313364,0.9216589861751152,0,27.880184331797235,0,35.944700460829495,9.90783410138249,12.903225806451612
45005,Castilla - La Mancha,Toledo,Alcañizo,227,100,180,79.3,174,5,6,0,0,0,0,8.620689655172415,0,0,0,0,0,0,0,0,0.5747126436781609,0,38.50574712643678,0,33.9080459770115,9.770114942528735,5.747126436781609
45006,Castilla - La Mancha,Toledo,Alcaudete de la Jara,1326,100,983,74.13,972,6,11,0,0,0,0,12.860082304526749,0,0,0,0,0,0,0,0.720164609053498,0.411522633744856,0,18.930041152263374,0,41.666666666666664,6.584362139917696,18.209876543209877
45007,Castilla - La Mancha,Toledo,Alcolea de Tajo,665,100,549,82.56,533,0,16,0,0,0,0,8.630393996247655,0,0,0,0,0,0,0,0.5628517823639775,0,0,16.135084427767353,0,54.78424015009381,8.630393996247655,11.25703564727955
45008,Castilla - La Mancha,Toledo,Aldea en Cabo,142,100,121,85.21,121,0,0,0,0,0,0,7.43801652892562,0,0,0,0,0,0,0,0,0,0,38.01652892561984,0,47.93388429752066,1.6528925619834711,4.958677685950414
45009,Castilla - La Mancha,Toledo,Aldeanueva de Barbarroya,464,100,303,65.3,301,2,2,0,0,0,0,7.308970099667774,0,0,0,0,0,0,0,0,0.6644518272425249,0,40.53156146179402,0,26.578073089700997,7.308970099667774,16.943521594684384
45010,Castilla - La Mancha,Toledo,Aldeanueva de San Bartolomé,389,100,280,71.98,280,3,0,0,0,0,0,6.428571428571429,0,0,0,0,0,0,0,0.7142857142857143,0.35714285714285715,0,16.785714285714285,0,47.142857142857146,7.857142857142857,19.642857142857142
45011,Castilla - La Mancha,Toledo,Almendral de la Cañada,275,100,241,87.64,238,2,3,0,0,0,0,13.025210084033613,0,0,0,0,0,0,0,0,0,0,41.1764705882353,0,34.45378151260504,1.2605042016806722,9.243697478991596
45012,Castilla - La Mancha,Toledo,Almonacid de Toledo,631,100,516,81.77,509,2,7,0,0,0,0,8.447937131630649,0,0,0,0,0,0,0,0.19646365422396855,0,0,36.345776031434184,0,29.273084479371317,11.984282907662083,13.359528487229863
45013,Castilla - La Mancha,Toledo,Almorox,1671,100,1320,78.99,1298,4,22,0,0,0,0,10.631741140215716,0,0,0,0,0,0,0,0.15408320493066255,0.3852080123266564,0,36.74884437596302,0,32.81972265023113,4.776579352850539,14.175654853620955
45014,Castilla - La Mancha,Toledo,Añover de Tajo,4020,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45015,Castilla - La Mancha,Toledo,Arcicóllar,662,100,506,76.44,500,2,6,0,0,0,0,18.4,0,0,0,0,0,0,0,0.2,1.2,0,17.8,0,34.8,10.4,16.8
45016,Castilla - La Mancha,Toledo,Argés,4442,100,3621,81.52,3583,21,38,0,0,0,0,21.853195646106613,0,0,0,0,0,0,0,0.27909572983533354,1.4512977951437342,0,18.448227742115545,0,29.30505163271002,12.112754674853475,15.964275746581077
45017,Castilla - La Mancha,Toledo,Azután,260,100,218,83.85,213,1,5,0,0,0,0,10.7981220657277,0,0,0,0,0,0,0,0,0.4694835680751174,0,23.004694835680752,0,50.70422535211268,7.511737089201878,7.042253521126761
45018,Castilla - La Mancha,Toledo,Barcience,551,100,399,72.41,397,3,2,0,0,0,0,12.090680100755668,0,0,0,0,0,0,0,0.5037783375314862,0.5037783375314862,0,13.09823677581864,0,27.707808564231737,20.151133501259444,25.188916876574307
45019,Castilla - La Mancha,Toledo,Bargas,7546,100,5831,77.27,5740,52,91,0,0,0,0,19.56445993031359,0,0,0,0,0,0,0,0.40069686411149824,1.1672473867595818,0,15.505226480836237,0,34.35540069686411,14.651567944250871,13.449477351916377
45020,Castilla - La Mancha,Toledo,Belvís de la Jara,1239,100,987,79.66,973,4,14,0,0,0,0,15.621788283658788,0,0,0,0,0,0,0,0.20554984583761562,0.41109969167523125,0,32.68242548818088,0,31.551901336074,6.3720452209660845,12.744090441932169
45021,Castilla - La Mancha,Toledo,Borox,2607,100,1987,76.22,1950,23,37,0,0,0,0,18.358974358974358,0,0,0,0,0,0,0,0.41025641025641024,1.0769230769230769,0,18.923076923076923,0,33.64102564102564,10.256410256410257,16.153846153846153
45022,Castilla - La Mancha,Toledo,Buenaventura,393,100,290,73.79,288,3,2,0,0,0,0,11.458333333333334,0,0,0,0,0,0,0,0.3472222222222222,0.3472222222222222,0,30.555555555555557,0,29.166666666666668,6.597222222222222,20.48611111111111
45023,Castilla - La Mancha,Toledo,Burguillos de Toledo,2248,100,1799,80.03,1784,16,15,0,0,0,0,21.41255605381166,0,0,0,0,0,0,0,0.336322869955157,1.2331838565022422,0,14.51793721973094,0,28.699551569506728,12.387892376681615,20.515695067264573
