codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
47001,Castilla y León,Valladolid,Adalia,52,100,47,90.38,46,0,1,0,0,0,0,17.391304347826086,0,0,0,0,0,0,0,0,2.1739130434782608,0,52.17391304347826,0,4.3478260869565215,4.3478260869565215,19.565217391304348
47002,Castilla y León,Valladolid,Aguasal,18,100,18,100,18,0,0,0,0,0,0,27.77777777777778,0,0,0,0,0,0,0,0,0,0,38.888888888888886,0,27.77777777777778,0,5.555555555555555
47003,Castilla y León,Valladolid,Aguilar de Campos,204,100,171,83.82,168,4,3,0,0,0,0,7.142857142857143,0,0,0,0,0,0,0,0,0,0,42.26190476190476,0,23.214285714285715,4.166666666666667,20.833333333333332
47004,Castilla y León,Valladolid,Alaejos,1136,100,950,83.63,939,5,11,0,0,0,0,13.525026624068158,0,0,0,0,0,0,0,0.42598509052183176,0,0,20.02129925452609,0,42.598509052183175,4.046858359957401,18.849840255591054
47005,Castilla y León,Valladolid,Alcazarén,503,100,420,83.5,414,2,6,0,0,0,0,18.357487922705314,0,0,0,0,0,0,0,0.966183574879227,0.7246376811594203,0,26.32850241545894,0,30.193236714975846,5.314009661835748,17.632850241545892
47006,Castilla y León,Valladolid,Aldea de San Miguel,186,100,153,82.26,149,1,4,0,0,0,0,12.080536912751677,0,0,0,0,0,0,0,0,1.342281879194631,0,20.80536912751678,0,27.516778523489933,24.161073825503355,13.422818791946309
47007,Castilla y León,Valladolid,Aldeamayor de San Martín,4036,100,3261,80.8,3217,25,44,0,0,0,0,22.474354989120297,0,0,0,0,0,0,0,0.9014609884986012,1.4299036369288156,0,16.257382654647188,0,26.359962698165994,14.9829033260802,16.816910164749768
47008,Castilla y León,Valladolid,Almenara de Adaja,22,100,15,68.18,15,0,0,0,0,0,0,6.666666666666667,0,0,0,0,0,0,0,0,0,0,40,0,6.666666666666667,26.666666666666668,20
47009,Castilla y León,Valladolid,Amusquillo,99,100,84,84.85,84,0,0,0,0,0,0,11.904761904761905,0,0,0,0,0,0,0,1.1904761904761905,1.1904761904761905,0,30.952380952380953,0,30.952380952380953,8.333333333333334,15.476190476190476
47010,Castilla y León,Valladolid,Arroyo de la Encomienda,14572,100,12316,84.52,12186,102,130,0,0,0,0,27.810602330543247,0,0,0,0,0,0,0,0.5908419497784343,1.1406532086000327,0,16.092236993270966,0,22.558673888068274,12.424093221729853,18.545872312489742
