codigo,ccaa,prov,mun,censo,perc_escrutado,votantes,part,validos,blancos,nulos,Bildu,BNG,CC,COMP,Cs,ERC,FR,GBAI,JxC,MAR,NA+,NCa,Otros,PACMA,PNV,PP,PRC,PSOE,UP,VOX
50001,Aragón,Zaragoza,Abanto,88,100,71,80.68,70,0,1,0,0,0,0,12.857142857142858,0,0,0,0,0,0,0,0,0,0,64.28571428571429,0,15.714285714285714,1.4285714285714286,5.714285714285714
50002,Aragón,Zaragoza,Acered,125,100,96,76.8,91,1,5,0,0,0,0,19.78021978021978,0,0,0,0,0,0,0,0,0,0,42.857142857142854,0,18.681318681318682,0,17.582417582417584
50003,Aragón,Zaragoza,Agón,119,100,95,79.83,95,1,0,0,0,0,0,25.263157894736842,0,0,0,0,0,0,0,0,0,0,18.94736842105263,0,38.94736842105263,3.1578947368421053,12.631578947368421
50004,Aragón,Zaragoza,Aguarón,478,100,380,79.5,376,2,4,0,0,0,0,13.563829787234043,0,0,0,0,0,0,0,1.0638297872340425,0.26595744680851063,0,20.47872340425532,0,44.41489361702128,8.77659574468085,10.904255319148936
50005,Aragón,Zaragoza,Aguilón,239,100,204,85.36,201,2,3,0,0,0,0,17.412935323383085,0,0,0,0,0,0,0,1.492537313432836,0,0,36.81592039800995,0,18.407960199004975,5.970149253731344,18.90547263681592
50006,Aragón,Zaragoza,Ainzón,908,100,705,77.64,689,3,16,0,0,0,0,17.56168359941945,0,0,0,0,0,0,0,0.7256894049346879,1.0159651669085632,0,16.400580551523948,0,45.71843251088534,9.433962264150944,8.708272859216255
50007,Aragón,Zaragoza,Aladrén,49,100,34,69.39,34,0,0,0,0,0,0,20.58823529411765,0,0,0,0,0,0,0,2.9411764705882355,0,0,20.58823529411765,0,17.647058823529413,38.23529411764706,0
50008,Aragón,Zaragoza,Alagón,5185,100,3753,72.38,3711,35,42,0,0,0,0,19.88682295877122,0,0,0,0,0,0,0,1.778496362166532,1.0509296685529508,0,11.856642414443547,0,33.57585556453786,19.590406898410134,11.317704122877931
50009,Aragón,Zaragoza,Alarba,97,100,72,74.23,71,1,1,0,0,0,0,12.67605633802817,0,0,0,0,0,0,0,0,0,0,39.436619718309856,0,23.943661971830984,5.633802816901408,16.901408450704224
50010,Aragón,Zaragoza,Alberite de San Juan,66,100,56,84.85,55,2,1,0,0,0,0,25.454545454545453,0,0,0,0,0,0,0,3.6363636363636362,0,0,38.18181818181818,0,9.090909090909092,5.454545454545454,14.545454545454545
50011,Aragón,Zaragoza,Albeta,116,100,100,86.21,99,0,1,0,0,0,0,14.141414141414142,0,0,0,0,0,0,0,1.0101010101010102,2.0202020202020203,0,12.121212121212121,0,50.505050505050505,10.1010101010101,10.1010101010101
50012,Aragón,Zaragoza,Alborge,96,100,79,82.29,79,1,0,0,0,0,0,10.126582278481013,0,0,0,0,0,0,0,3.7974683544303796,0,0,21.518987341772153,0,48.10126582278481,5.063291139240507,10.126582278481013
50013,Aragón,Zaragoza,Alcalá de Ebro,200,100,166,83,166,3,0,0,0,0,0,10.843373493975903,0,0,0,0,0,0,0,0.6024096385542169,0,0,21.08433734939759,0,39.75903614457831,8.433734939759036,17.46987951807229
50014,Aragón,Zaragoza,Alcalá de Moncayo,119,100,85,71.43,85,0,0,0,0,0,0,25.88235294117647,0,0,0,0,0,0,0,2.3529411764705883,0,0,15.294117647058824,0,37.64705882352941,11.764705882352942,7.0588235294117645
50015,Aragón,Zaragoza,Alconchel de Ariza,81,100,61,75.31,59,1,2,0,0,0,0,15.254237288135593,0,0,0,0,0,0,0,0,0,0,15.254237288135593,0,66.10169491525424,0,1.694915254237288
50016,Aragón,Zaragoza,Aldehuela de Liestos,44,100,31,70.45,31,0,0,0,0,0,0,25.806451612903224,0,0,0,0,0,0,0,0,0,0,32.25806451612903,0,22.580645161290324,0,19.35483870967742
50017,Aragón,Zaragoza,Alfajarín,1779,100,1386,77.91,1373,14,13,0,0,0,0,22.578295702840496,0,0,0,0,0,0,0,0.9468317552804079,1.0196649672250546,0,13.401310997815004,0,25.41879096868172,14.639475600873999,20.975965040058266
50018,Aragón,Zaragoza,Alfamén,893,100,705,78.95,696,3,9,0,0,0,0,16.522988505747126,0,0,0,0,0,0,0,0.7183908045977011,0,0,18.103448275862068,0,46.98275862068966,4.310344827586207,12.931034482758621
50019,Aragón,Zaragoza,Alforque,64,100,48,75,47,0,1,0,0,0,0,4.25531914893617,0,0,0,0,0,0,0,2.127659574468085,2.127659574468085,0,34.04255319148936,0,29.78723404255319,4.25531914893617,23.404255319148938
50020,Aragón,Zaragoza,Alhama de Aragón,802,100,606,75.56,600,7,6,0,0,0,0,18.5,0,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,0,21,0,35.666666666666664,10,12.666666666666666
50021,Aragón,Zaragoza,Almochuel,25,100,23,92,23,1,0,0,0,0,0,8.695652173913043,0,0,0,0,0,0,0,0,0,0,47.82608695652174,0,4.3478260869565215,0,34.78260869565217
50022,Aragón,Zaragoza,La Almolda,504,100,396,78.57,386,11,10,0,0,0,0,19.689119170984455,0,0,0,0,0,0,0,0.7772020725388601,0.5181347150259067,0,28.238341968911918,0,31.60621761658031,6.217616580310881,10.103626943005182
50023,Aragón,Zaragoza,Almonacid de la Cuba,208,100,165,79.33,164,2,1,0,0,0,0,18.902439024390244,0,0,0,0,0,0,0,0.6097560975609756,0,0,46.34146341463415,0,26.21951219512195,3.658536585365854,3.048780487804878
50024,Aragón,Zaragoza,Almonacid de la Sierra,556,100,427,76.8,426,6,1,0,0,0,0,12.67605633802817,0,0,0,0,0,0,0,0.704225352112676,0.2347417840375587,0,17.84037558685446,0,46.713615023474176,10.7981220657277,9.624413145539906
50025,Aragón,Zaragoza,La Almunia de Doña Godina,4516,100,3417,75.66,3364,35,53,0,0,0,0,23.751486325802617,0,0,0,0,0,0,0,0.5648038049940547,0.4756242568370987,0,21.521997621878715,0,31.18311533888228,8.769322235434007,12.69322235434007
50026,Aragón,Zaragoza,Alpartir,421,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50027,Aragón,Zaragoza,Ambel,224,100,170,75.89,165,1,5,0,0,0,0,11.515151515151516,0,0,0,0,0,0,0,0,0,0,23.03030303030303,0,45.45454545454545,9.696969696969697,9.696969696969697
50028,Aragón,Zaragoza,Anento,77,100,59,76.62,58,1,1,0,0,0,0,20.689655172413794,0,0,0,0,0,0,0,0,1.7241379310344827,0,10.344827586206897,0,39.6551724137931,6.896551724137931,18.96551724137931
50029,Aragón,Zaragoza,Aniñón,604,100,475,78.64,467,7,8,0,0,0,0,15.845824411134904,0,0,0,0,0,0,0,0.8565310492505354,0.4282655246252677,0,17.987152034261243,0,51.820128479657384,7.494646680942184,4.0685224839400425
50030,Aragón,Zaragoza,Añón de Moncayo,201,100,138,68.66,136,1,2,0,0,0,0,9.558823529411764,0,0,0,0,0,0,0,0.7352941176470589,0.7352941176470589,0,26.470588235294116,0,31.61764705882353,19.852941176470587,10.294117647058824
50031,Aragón,Zaragoza,Aranda de Moncayo,139,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50032,Aragón,Zaragoza,Arándiga,242,100,179,73.97,176,1,3,0,0,0,0,14.204545454545455,0,0,0,0,0,0,0,1.7045454545454546,1.1363636363636365,0,16.477272727272727,0,40.34090909090909,21.59090909090909,3.977272727272727
